,Integer Rank,Name,Position,Team,DSA Impact Factor,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
110,111,Chris Fake,D,Redwoods,0.418,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.455,0.002,0.508,0.498,0.831,0.567,0.838,0.752,0.542,0.827,0.669,0.435,0.527,0.533,0.329,0.699,0.302,0.5,0.105,0.951,0.313,0.265,0.5,0.37,0.355,0.153,0.152
111,112,Mason Woodward,D,Archers,0.405,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.51,0.002,0.508,0.359,0.87,0.567,0.838,0.713,0.349,0.886,0.771,0.324,0.368,0.533,0.329,0.699,0.302,0.5,0.105,0.898,0.313,0.265,0.5,0.37,0.355,0.153,0.152
112,113,Joseph Nardella,FO,Whipsnakes,0.403,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.455,0.002,0.508,0.498,0.156,0.567,0.225,0.269,0.292,0.861,0.974,0.501,0.572,0.983,0.995,0.014,0.992,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
113,114,JT Giles-Harris,D,Outlaws,0.403,0.74,0.573,0.09,0.09,0.108,0.313,0.749,0.373,0.002,0.508,1.0,0.156,0.567,0.225,0.269,0.425,0.827,0.699,0.372,0.458,0.533,0.329,0.699,0.302,0.5,0.168,0.861,0.313,0.265,0.5,0.37,0.355,0.153,0.152
114,115,Dylan Hess,SSDM,Waterdogs,0.388,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.455,0.002,0.508,0.498,0.763,0.567,0.225,0.269,0.993,0.827,0.596,0.381,0.478,0.533,0.329,0.168,0.795,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
115,116,Christian Mazur,SSDM,Whipsnakes,0.386,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.552,0.002,0.508,0.287,0.763,0.567,0.225,0.269,0.993,0.827,0.669,0.353,0.425,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
116,117,Tim Muller,D,Whipsnakes,0.386,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.373,0.002,0.508,1.0,0.156,0.567,0.225,0.269,0.993,0.777,0.749,0.362,0.468,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
117,118,Jack VanOverbeke,M,Outlaws,0.381,0.74,0.652,0.09,0.09,0.108,0.313,0.816,0.758,0.002,0.768,0.557,0.156,0.567,0.225,0.269,0.249,0.081,0.358,0.54,0.498,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
118,119,Ajax Zappitello,D,Whipsnakes,0.38,0.74,0.573,0.09,0.09,0.108,0.313,0.749,0.51,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.542,0.942,0.726,0.54,0.629,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
119,120,Colin Squires,LSM,Whipsnakes,0.376,0.74,0.573,0.09,0.09,0.108,0.313,0.749,0.373,0.002,0.043,0.0,0.763,0.567,0.225,0.269,0.249,0.693,0.928,0.399,0.458,0.533,0.329,0.699,0.302,0.5,0.168,0.861,0.313,0.265,0.5,0.37,0.355,0.153,0.152
120,121,Eric Dobson,M,Chaos,0.376,0.184,0.061,0.09,0.09,0.108,0.313,0.155,0.616,0.002,0.587,0.359,0.831,0.567,0.838,0.752,0.249,0.081,0.251,0.485,0.508,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
121,122,Matt Rambo,A,Whipsnakes,0.368,0.382,0.652,0.09,0.09,0.108,0.313,0.816,0.717,0.002,0.728,0.536,0.156,0.567,0.225,0.269,0.542,0.081,0.0,0.399,0.391,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
122,123,Kenny Brower,D,Waterdogs,0.365,0.74,0.573,0.09,0.09,0.108,0.313,0.749,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.993,0.932,0.699,0.343,0.458,0.533,0.329,0.699,0.302,0.5,0.105,0.861,0.313,0.265,0.5,0.37,0.355,0.153,0.152
123,124,Garrett Epple,D,Cannons,0.36,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.455,0.002,0.043,0.0,0.831,0.567,0.225,0.269,0.542,0.951,0.726,0.461,0.555,0.533,0.329,0.699,0.302,0.5,0.168,0.794,0.313,0.265,0.5,0.37,0.355,0.153,0.152
124,125,Connor Maher,SSDM,Archers,0.356,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.373,0.002,0.043,0.0,0.763,0.567,0.225,0.269,0.542,0.693,0.499,0.254,0.331,0.974,0.775,0.237,0.771,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
125,126,Greg Langermeier,SSDM,Chaos,0.348,0.581,0.573,0.09,0.09,0.108,0.313,0.749,0.552,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.425,0.693,0.551,0.304,0.344,0.533,0.329,0.699,0.302,0.5,0.168,0.794,0.313,0.265,0.5,0.37,0.355,0.153,0.152
126,127,Jack Kielty,D,Cannons,0.344,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.373,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.993,0.942,0.635,0.381,0.488,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
127,128,Scott Smith,D,Chaos,0.343,0.048,0.061,0.09,0.09,0.108,0.313,0.155,0.51,0.002,0.587,0.637,0.156,0.567,0.225,0.269,0.993,0.693,0.251,0.062,0.064,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
128,129,Jake Bernhardt,SSDM,Whipsnakes,0.343,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.455,0.002,0.043,0.0,0.763,0.567,0.225,0.269,0.542,0.081,0.635,0.244,0.306,0.954,0.815,0.15,0.836,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
129,130,Chris Conlin,D,Redwoods,0.342,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.993,0.861,0.838,0.452,0.572,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
